Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Globigerina bulloides,Globigerina cf. woodi,Globoconella miozea,Neogloboquadrina acostaensis,Neogloboquadrina nympha,Neogloboquadrina cf. pachyderma,File Data,
318-U1359A-4H-CC-PAL-FORAM,318,U1359,A,4,4-CC,H,CC,PAL,FORAM,0,5,28.51,28.56,R[318_PF],,,,,C[318_PF],,
318-U1359A-4H-CC-PAL-FORAM,318,U1359,A,4,4-CC,H,CC,PAL,FORAM,0,5,28.51,28.56,,,,,,R[318_PF],,
318-U1359A-5H-CC-PAL-FORAM,318,U1359,A,5,5-CC,H,CC,PAL,FORAM,0,5,29.28,29.33,R[318_PF],,,,,C[318_PF],,
318-U1359A-5H-CC-PAL-FORAM,318,U1359,A,5,5-CC,H,CC,PAL,FORAM,0,5,29.28,29.33,,,,,,R[318_PF],,
