taxon_group,verbatim_name,name,"name to use (if different from ""name"")",name comment field,Comment,notes,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Planulina sp.,Planulina sp.,,,,"in PBDB, so will be classified correctly",,,Planulina,,,,sp.,,,,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Planulina sp. (loosely coiled),Planulina sp. (loosely coiled),Planulina sp.,,,Ask BF person,,,Planulina,,,,sp.,,,loosely coiled,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Planulina sp. 2,Planulina sp. 2,,,,"in PBDB, so will be classified correctly",,,Planulina,,,,sp. 2,,,,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Planulina spp.,Planulina spp.,,,,"in PBDB, so will be classified correctly",,,Planulina,,,,spp.,,,,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Planulina subtenuissima,Planulina subtenuissima,,,,"in PBDB, so will be classified correctly",,,Planulina,,,,subtenuissima,,,,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Planulina weullerstorfi,Planulina weullerstorfi,Planulina wuellerstorfi,,,"in PBDB, so will be classified correctly",,,Planulina,,,,weullerstorfi,,,,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Planulina wuellerstorfi,Planulina wuellerstorfi,,,,"in PBDB, so will be classified correctly",,,Planulina,,,,wuellerstorfi,,,,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Planulina wuellerstorfi >1000 m,Planulina wuellerstorfi >1000 m,Planulina wuellerstorfi,,,Ask BF person,,,Planulina,,,,wuellerstorfi,,,>1000 m,,2149,Planulina,genus,,112321,Planulidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Plectofrondicularia advena,Plectofrondicularia advena,,,,"in PBDB, so will be classified correctly",,,Plectofrondicularia,,,,advena,,,,,2154,Plectofrondicularia,genus,,430617,Plectofrondiculariidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Plectofrondicularia cf. kerni,Plectofrondicularia cf. kerni,,,,"in PBDB, so will be classified correctly",,,Plectofrondicularia,,,cf.,kerni,,,,,2154,Plectofrondicularia,genus,,430617,Plectofrondiculariidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Plectofrondicularia lirata,Plectofrondicularia lirata,,,,"in PBDB, so will be classified correctly",,,Plectofrondicularia,,,,lirata,,,,,2154,Plectofrondicularia,genus,,430617,Plectofrondiculariidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Plectofrondicularia proparri,Plectofrondicularia proparri,,,,"in PBDB, so will be classified correctly",,,Plectofrondicularia,,,,proparri,,,,,2154,Plectofrondicularia,genus,,430617,Plectofrondiculariidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Plectofrondicularia sp.,Plectofrondicularia sp.,,,,"in PBDB, so will be classified correctly",,,Plectofrondicularia,,,,sp.,,,,,2154,Plectofrondicularia,genus,,430617,Plectofrondiculariidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Plectofrondicularia vaughni,Plectofrondicularia vaughni,,,,"in PBDB, so will be classified correctly",,,Plectofrondicularia,,,,vaughni,,,,,2154,Plectofrondicularia,genus,,430617,Plectofrondiculariidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella,Pleurostomella,Pleurostomella sp.,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,sp.,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella acuminata,Pleurostomella acuminata,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,acuminata,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella acuta,Pleurostomella acuta,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,acuta,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella alternans,Pleurostomella alternans,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,alternans,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
